index,doppler_offset,timestamp,measured_freq
287,1932.4282226562,2018-01-13T16:12:30.562011Z,145881932.4282226562
288,1941.6773681641,2018-01-13T16:12:30.662011Z,145881941.6773681641
289,1945.3598632812,2018-01-13T16:12:30.762011Z,145881945.3598632812
290,1948.7573242188,2018-01-13T16:12:30.862011Z,145881948.7573242188
291,1927.4249267578,2018-01-13T16:12:30.962011Z,145881927.4249267578
292,1919.3100585938,2018-01-13T16:12:31.062011Z,145881919.3100585938
293,1953.9982910156,2018-01-13T16:12:31.162011Z,145881953.9982910156
294,1929.4517822266,2018-01-13T16:12:31.262011Z,145881929.4517822266
295,1941.7812500000,2018-01-13T16:12:31.362011Z,145881941.7812500000
296,1931.2272949219,2018-01-13T16:12:31.462011Z,145881931.2272949219
297,1931.3299560547,2018-01-13T16:12:31.562011Z,145881931.3299560547
298,1939.7897949219,2018-01-13T16:12:31.662011Z,145881939.7897949219
299,1943.3309326172,2018-01-13T16:12:31.762011Z,145881943.3309326172
300,1932.6291503906,2018-01-13T16:12:31.862011Z,145881932.6291503906
301,1942.1822509766,2018-01-13T16:12:31.962011Z,145881942.1822509766
302,1937.6765136719,2018-01-13T16:12:32.062011Z,145881937.6765136719
303,1938.0194091797,2018-01-13T16:12:32.162011Z,145881938.0194091797
304,1956.8155517578,2018-01-13T16:12:32.262011Z,145881956.8155517578
305,1948.8659667969,2018-01-13T16:12:32.362011Z,145881948.8659667969
306,1927.9549560547,2018-01-13T16:12:32.462011Z,145881927.9549560547
307,1931.0789794922,2018-01-13T16:12:32.562011Z,145881931.0789794922
308,1947.7701416016,2018-01-13T16:12:32.662011Z,145881947.7701416016
309,1933.9291992188,2018-01-13T16:12:32.762011Z,145881933.9291992188
310,1928.0733642578,2018-01-13T16:12:32.862011Z,145881928.0733642578
311,1913.7448730469,2018-01-13T16:12:32.962011Z,145881913.7448730469
312,1912.4704589844,2018-01-13T16:12:33.062011Z,145881912.4704589844
313,1915.3942871094,2018-01-13T16:12:33.162011Z,145881915.3942871094
314,1908.3125000000,2018-01-13T16:12:33.262011Z,145881908.3125000000
315,1933.5977783203,2018-01-13T16:12:33.362011Z,145881933.5977783203
316,1947.5684814453,2018-01-13T16:12:33.462011Z,145881947.5684814453
317,1928.7596435547,2018-01-13T16:12:33.562011Z,145881928.7596435547
318,1927.6450195312,2018-01-13T16:12:33.662011Z,145881927.6450195312
319,1932.3841552734,2018-01-13T16:12:33.762011Z,145881932.3841552734
320,1933.7490234375,2018-01-13T16:12:33.862011Z,145881933.7490234375
321,1926.7800292969,2018-01-13T16:12:33.962011Z,145881926.7800292969
